changeagents.coop,Change AGEnts Network UK Ltd,E1 5NF,changeagents.lod.coop,,,
channelislands.coop,Channel Islands Co-operative Society,JE2 4TR,channelislands.lod.coop,,,
chapelstreetstudio.coop,Chapel Street Studio,BD1 5DT,chapelstreetstudio.lod.coop,,,
chelmsfordstar.coop,Chelmsford Star Co operative Society Limited,CM2 OLS,chelmsfordstar.lod.coop,,,
chip.coop,CHIP,SR2 8AH,chip.lod.coop,,,
chocolate.coop,Divine Chocolate Ltd.,SE1 2NE,chocolate.lod.coop,,,
chriscooper.coop,Cheiron Learning,WR2 6AF,chriscooper.lod.coop,,,
cim.coop,CIS General Insurance Limited,M60 0AL,cim.lod.coop,,,
citydesign.coop,City Design Co operative Ltd,G1 2DP,citydesign.lod.coop,,,
clevedoncommunitybookshop.coop,Clevedon Community Bookshop Co-operative Ltd,BS21 7QN,clevedoncommunitybookshop.lod.coop,,,
clockwise.coop,Clockwise Credit Union Ltd,LE1 5LB,clockwise.lod.coop,,,
cms.coop,Co operative and Mutual Solutions,CA15 8BF,cms.lod.coop,,,
co-opcollege.coop,Co operative College,M60 0AS,co-opcollege.lod.coop,,,
co-operation.coop,Tower Hamlets Co-operative Development Agency,E1 5NF,co-operation.lod.coop,,,
co-operative.coop,The Co-operative Group,M60 0AG,co-operative.lod.coop,,,
co-operativecreditunion.coop,The Co-operative Credit Union,M60 4EP,co-operativecreditunion.lod.coop,,,
co-operativeschools.coop,The Schools Co-operative Society,HR6 8DE,co-operativeschools.lod.coop,,,
co-working.coop,The Co-working Co-operative CIC,S1 2JP,co-working.lod.coop,,,
cobnuts.coop,Cobnuts Co-op,CO7 0BZ,cobnuts.lod.coop,,,
cochabamba.coop,Cochabamba Project Limited,S7 2NJ,cochabamba.lod.coop,,,
cocreate.coop,Cocreate Co-operative Ltd.,E7 0PZ,cocreate.lod.coop,,,
communityenergybirmingham.coop,CoRE50,B12 8NJ,communityenergybirmingham.lod.coop,,,
communitypowercooperative.coop,Community Power Co-operative,TR1 2SJ,communitypowercooperative.lod.coop,,,
communitypowercornwall.coop,Neil Farrington,TR1 2SJ,communitypowercornwall.lod.coop,,,
consultancy.coop,Consultancy Coop,CF14 2TH,consultancy.lod.coop,,,
coopalternatives.coop,Cooperative Alternative,BT15 2GG,coopalternatives.lod.coop,,,
coopbankinggroup.coop,The Co-operative Bank p.l.c.,M9 0WQ,coopbankinggroup.lod.coop,,,
cooperantics.coop,Somerset Co-operative Services,BS3 5QS,cooperantics.lod.coop,,,
cooperativeinsurance.coop,Co operative Financial Services Ltd.,M60 0AL,cooperativeinsurance.lod.coop,,,
cooperativerenewables.coop,Co-operative Renewables Limited,OX7 5XL,cooperativerenewables.lod.coop,,,
cooperatives-east.coop,Co-operatives East,NR3 3UE,cooperatives-east.lod.coop,,,
cooperatives-em.coop,Co-operatives East Midlands,LN6 3NX,cooperatives-em.lod.coop,,,
cooperatives-se.coop,Co-operatives South East,GL1  4DF,cooperatives-se.lod.coop,,,
cooperatives-sw.coop,Co-operatives South West Limited,BS2 8QN,cooperatives-sw.lod.coop,,,
cooperatives-wales.coop,Co-operatives and Mutuals Wales,CF14 2TH,cooperatives-wales.lod.coop,,,
cooperatives-wm.coop,Co-operatives West Midlands,B12 9LQ,cooperatives-wm.lod.coop,,,
cooperatives-yh.coop,Co-operatives Yorkshire and the Humber Limited,S3 8GG,cooperatives-yh.lod.coop,,,
cooperativewomensguild.coop,Co-operative Women's Guild,BN44 3HP,cooperativewomensguild.lod.coop,,,
coophomes.coop,Co op Homes (South) Ltd,TW11 8GT,coophomes.lod.coop,,,
cornwall.coop,Social Economy & Co-operative Development Cornwall,TR1 1SL,cornwall.lod.coop,,,
corporatecritic.coop,Ethical Consumer,M15 5RF,corporatecritic.lod.coop,,,
councils.coop,Co-operative Councils' Innovation Network,OL1 1UL,councils.lod.coop,,,
cpda.coop,Cumbria Personal Development Associates Ltd,LA12 0RG,cpda.lod.coop,,,
